,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-01-07 20:00:00,,16100.9,16299.95,15872.07,16198.99,531.922594,1515362399999.0,8569505.30321274,6900.0,222.884961,3594350.858845,0.0
2018-01-07 22:00:00,,16198.99,16500.0,16000.94,16150.03,566.121945,1515369599999.0,9248998.48229808,7067.0,259.077424,4234513.15001998,0.0
2018-01-08 00:00:00,,16218.85,16322.3,15655.0,15850.07,1460.173438,1515376799999.0,23305443.45744073,14437.0,746.879661,11928650.91149713,0.0
2018-01-08 02:00:00,,15850.08,16100.0,15514.99,15670.37,1713.970696,1515383999999.0,27139760.4817234,13484.0,912.836252,14472442.08984428,0.0
2018-01-08 04:00:00,,15632.48,15899.99,15476.0,15768.71,1460.386807,1515391199999.0,22941229.07758436,13531.0,876.856783,13782830.95384147,0.0
2018-01-08 06:00:00,,15768.71,15921.68,15639.64,15865.0,1597.04576,1515398399999.0,25228372.18729922,10539.0,1046.67441,16537418.57437385,0.0
2018-01-08 08:00:00,,15864.99,15869.97,14619.0,14650.0,2588.807658,1515405599999.0,39365167.04429291,22868.0,1281.599694,19524642.08705605,0.0
2018-01-08 10:00:00,,14650.0,15468.12,14551.0,15400.0,2315.103598,1515412799999.0,34901400.59988315,16906.0,1354.561356,20447769.40985041,0.0
2018-01-08 12:00:00,,15414.0,15499.0,14444.0,14609.88,2175.693643,1515419999999.0,32557276.23115593,15789.0,1049.382343,15777599.89776377,0.0
2018-01-08 14:00:00,,14659.88,14700.0,12812.0,14299.98,6559.955318,1515427199999.0,91688455.31013995,43738.0,3056.886307,42903607.08497685,0.0
2018-01-08 16:00:00,,14297.9,14966.51,14238.32,14699.95,2904.233769,1515434399999.0,42642383.89224533,19960.0,1580.042575,23199801.62909334,0.0
2018-01-08 18:00:00,,14739.8,15247.33,14580.22,15196.55,1240.040935,1515441599999.0,18564945.9757519,12397.0,662.301204,9901718.95465899,0.0
2018-01-08 20:00:00,,15196.56,15270.99,14527.08,14888.97,1192.327043,1515448799999.0,17757856.77103013,12016.0,515.529434,7669798.87409763,0.0
2018-01-08 22:00:00,,14889.3,15000.0,14392.32,14902.54,1392.871247,1515455999999.0,20477706.12891565,12977.0,673.29437,9903301.66963447,0.0
2018-01-09 00:00:00,,14902.54,15320.0,14701.0,15240.24,1319.352468,1515463199999.0,19881135.37557896,13661.0,630.348344,9489145.66814321,0.0
2018-01-09 02:00:00,,15242.34,15500.0,15053.22,15210.0,948.378464,1515470399999.0,14459939.58729556,10497.0,483.400076,7372968.1990513,0.0
2018-01-09 04:00:00,,15186.53,15397.0,14670.0,14880.0,1074.078023,1515477599999.0,16171045.13227276,11733.0,510.834962,7694089.09798883,0.0
2018-01-09 06:00:00,,14880.0,15150.0,14601.0,15062.28,1020.618741,1515484799999.0,15180010.60179169,9865.0,527.466005,7839692.32102284,0.0
2018-01-09 08:00:00,,15062.28,15300.0,14766.0,14811.0,720.59435,1515491999999.0,10865766.38142335,9237.0,307.898954,4639475.47716648,0.0
2018-01-09 10:00:00,,14802.01,14816.1,14170.33,14726.0,1832.724293,1515499199999.0,26614929.57788262,19278.0,850.509558,12354852.4532783,0.0
2018-01-09 12:00:00,,14726.0,14829.98,14011.05,14041.03,1754.448043,1515506399999.0,25289959.01693645,17491.0,849.669791,12247009.09063322,0.0
2018-01-09 14:00:00,,14072.87,14800.0,14064.13,14654.96,1752.089652,1515513599999.0,25346038.85250567,17430.0,848.295719,12258903.98516959,0.0
2018-01-09 16:00:00,,14655.01,14998.62,14585.01,14949.98,867.462033,1515520799999.0,12892881.24729087,10642.0,464.72262,6908612.46961577,0.0
